report_date,db_name,total_bytes,total_mb
2026-01-19 00:00:00,EPIFILES_VOO4,5727465232,5462.14
2026-01-19 00:00:00,NEODEMAT31,1018961283,971.76
2026-01-19 00:00:00,PASSEPLAT,276325902,263.52
2026-01-19 00:00:00,VOOPNL_FNTB,660857,0.63
2026-01-19 00:00:00,VOOPNL_FNTPROXA,660857,0.63
2026-01-19 00:00:00,VOOPNL_PROXA1,575292,0.55
2026-01-19 00:00:00,checksum,14747867,14.06
2026-01-19 00:00:00,createasselect,113316088,108.07
2026-01-19 00:00:00,disp_ara,393038038,374.83
2026-01-19 00:00:00,disp_ges_docr,10006634,9.54
2026-01-19 00:00:00,disp_ges_docs,432337002,412.31
2026-01-19 00:00:00,disp_idf,614854762,586.37
2026-01-19 00:00:00,disp_naq,9777258,9.32
2026-01-19 00:00:00,disp_nor,463777898,442.29
2026-01-19 00:00:00,disp_occ,1301573738,1241.28
2026-01-19 00:00:00,dispatcher,466658700,445.04
2026-01-19 00:00:00,dispatcher3d,944786998,901.02
2026-01-19 00:00:00,docr_ara,20822553517,19857.93
2026-01-19 00:00:00,docr_can,68429134,65.26
2026-01-19 00:00:00,docr_ges,12212133262,11646.4
2026-01-19 00:00:00,docr_gua,1783010047,1700.41
2026-01-19 00:00:00,docr_guy,1237279726,1179.96
2026-01-19 00:00:00,docr_idf,53190077303,50726.01
2026-01-19 00:00:00,docr_mtq,1864224585,1777.86
2026-01-19 00:00:00,docr_naq,46830325309,44660.88
2026-01-19 00:00:00,docr_nor,10351993803,9872.43
2026-01-19 00:00:00,docr_occ,25839788597,24642.74
2026-01-19 00:00:00,docs_ara,26853808555,25609.79
2026-01-19 00:00:00,docs_can,252002218,240.33
2026-01-19 00:00:00,docs_ges,22091200030,21067.81
2026-01-19 00:00:00,docs_guy,13794763989,13155.71
2026-01-19 00:00:00,docs_idf,51471609571,49087.15
2026-01-19 00:00:00,docs_naq,66812387774,63717.26
2026-01-19 00:00:00,docs_nor,18831653184,17959.26
2026-01-19 00:00:00,docs_occ,43497790639,41482.73
2026-01-19 00:00:00,docu_aquitaine,9579221292,9135.46
2026-01-19 00:00:00,docu_bfc,2351321704,2242.4
2026-01-19 00:00:00,docu_can,132970558,126.81
2026-01-19 00:00:00,docu_guadeloupe,1079357949,1029.36
2026-01-19 00:00:00,docu_guyane,635777433,606.32
2026-01-19 00:00:00,docu_idf,21910881571,20895.85
2026-01-19 00:00:00,docu_martinique,1960496401,1869.68
2026-01-19 00:00:00,docu_normandie,3576448431,3410.77
2026-01-19 00:00:00,docu_occitanie,10417328870,9934.74
2026-01-19 00:00:00,docu_pf,165818373,158.14
2026-01-19 00:00:00,docu_rh_alpes,14558006346,13883.6
2026-01-19 00:00:00,edepistage,4897732878,4670.84
2026-01-19 00:00:00,edepistage_can,110344695,105.23
2026-01-19 00:00:00,edepistage_pf,504595464,481.22
2026-01-19 00:00:00,esisbci,59154765473,56414.38
2026-01-19 00:00:00,esisbci_can,35839844,34.18
2026-01-19 00:00:00,esisdoccu,19766785542,18851.08
